حلقہ نمبر3 بھوانہ,,,,,,,
صفحہ,بستی کا نام,یونین کونسل,مساجد,جماعتیں,ساتھی,نقشے پر ایڈریس,
51,ڈھنڈے شاہ نزد اڈہ نلکا,,1,1,0,31058,32064
48,ڈھول والا چک 198,,2,2,10,31052,32093
43,ڈوگھڑا,,2,2,2,31061,32086
34,ڈیرہ سردار شاہ,,1,1,0,31070,32098
42,ڈیرہ لاڈیاں,,1,1,0,31061,32098
51,راجہ آباد,,1,1,0,31059,32063
35,رتے کی جھلار,,1,1,0,31070,32084
34,رجوکے آبادی,,1,1,0,31072,32098
34,رجوکے دے جھگے,,0,0,0,31075,32099
42,رجوکیاں کا پمپ,,1,1,0,31063,32090
44,رجوکیاں والا,,1,1,0,31062,32072
50,رحمان والا,,1,1,0,31058,32070
42,رحموں کے جپے,,1,1,0,31065,32093
42,رسالو,,3,3,0,31066,32091
42,رسالو کالونی,,1,1,0,31068,32092
45,رضانگر,,2,0,0,31064,32066
34,رمضان شوگر مل,,1,1,0,31074,32091
42,روڈا 238,,1,1,0,31062,32092
42,روڈا موڑ,,1,1,0,31062,32092
45,ریاض والا,,1,1,0,31061,32069
53,سادھ لک 202,,1,1,2,31046,32094
34,سانھبل,,2,2,0,31079,32093
51,سپراواں,,1,1,0,31058,32068
49,سر ننگا 242,,1,1,0,31056,32087
44,سرفراز آباد,,1,1,0,31066,32079
44,سرفراز آباد نئی کالونی,,0,0,0,31067,32079
45,سرکاری ہسپتال,,1,1,0,31062,32069
45,سڑکی آبادیاں,,1,1,0,31060,32066
35,سگھر والا,,1,1,0,31071,32086
49,سگھل 245,,1,1,0,31050,32080
44,سلطان والا,,1,1,0,31067,32073
45,سلیمان,,3,3,1,31062,32062
51,سلیمان روڈ شیر آباد,,1,1,0,31059,32068
45,سمندری,,1,0,0,31065,32068
43,سناریاں والا,,1,0,0,31066,32081
45,سنگیاں والا,,1,1,1,31060,32069
35,سہرو کی جھلار,,1,1,0,31075,32084
50,سیالاں دی کبھاری,,1,1,0,31058,32070
54,سید والا 249,,1,1,0,31046,32082
43,سید والا کھوہ,,1,1,0,31067,32085
35,شاہرو کی جھلار,,1,1,0,31076,32082
44,شریع والا,,1,0,0,31067,32076
45,شنکر کھوہ,,1,1,0,31060,32067
34,شہابل کا کھوہ,,1,1,0,31070,32098
45,شیر آباد,,1,1,0,31060,32066
34,شیر والا,,1,1,0,31074,32091
49,صابوآنہ 243,,1,1,5,31052,32084
34,صاحب والا,,1,1,0,31076,32096
53,صالت 202,,1,1,0,31046,32092
34,صحیح کا پمپ,,1,1,1,31075,32096
43,عاربیاں والا,,1,1,0,31061,32081
36,عباس والا,,1,1,0,31070,32076
34,عدلانہ,,2,2,2,31070,32093
44,علی آباد,,1,1,0,31064,32071
48,غلام نبی کی ڈھاریاں,,1,1,0,31052,32099
34,فتح کوٹ تاجہ,,2,2,0,31078,32092
34,فقیراں دی کھوئی,,1,1,0,31078,32094
35,فلائی,,1,1,0,31070,32087
45,فوجیاں والا,,2,2,10,31064,32066
43,قائم نگر,,,,,31069,32085
35,قلعہ کنگراں,,2,2,2,31076,32086
44,قمر آباد ورائچ,,0,0,0,31065,32079
34,قمرے کی کالونی,,,,,31070,32090
49,کالونی,,1,1,0,31053,32089
44,کالونی 194 سیال والا,,1,1,0,31061,32073
36,کالونی اوبھان,,1,1,3,31078,32074
35,کالونی اوڈ,,1,1,0,31074,32088
35,کالونی اوڈاں سمندر,,1,1,0,31073,32082
35,کالونی برخوردار,,1,1,0,31073,32084
47,کالونی بڑی چک سیال,,1,1,0,31056,32100
35,کالونی بوھڑ والا,,1,1,0,31070,32086
35,کالونی بیکو موٹر,,1,1,4,31074,32088
50,کالونی چک 196,,2,2,2,31059,32073
48,کالونی چک 210,,1,1,0,31052,32090
47,کالونی چک بھٹیاں,,1,1,0,31056,32100
47,کالونی چک سیال چھوٹی,,1,1,0,31058,32100
42,کالونی چک156ساہمل,,1,1,5,31068,32094
35,کالونی حاجی ریاض,,1,1,0,31073,32088
43,کالونی خانوآنہ,,1,1,1,31063,32080
35,کالونی خیر آباد,,1,1,4,31074,32088
34,کالونی دین پور,,1,1,8,31074,32090
43,کالونی ڈوگھڑا و سکول,,1,1,0,31060,32084
48,کالونی رحموآنہ,,1,1,0,31050,32092
35,کالونی سمندر,,1,1,0,31072,32082
42,کالونی شہادت ھیر دی,,0,0,0,31061,32098
35,کالونی کوٹلہ,,1,1,0,31070,32087
42,کالونی لنگرانہ,,1,1,0,31062,32094
49,کالونی لنگرانہ سٹاپ,,1,1,0,31057,32086
35,کالونی معظم شاہ,,1,1,1,31073,32087
34,کالونی ممند,,1,1,0,31074,32094
36,کالونی منگینی,,1,1,2,31070,32074
44,کالیاں والا,,1,1,0,31061,32077
42,کلس دا پمپ,,0,0,0,31064,32090
44,کمھاراں والا,,1,1,0,31069,32072
35,کمیر کے جھگے,,0,0,0,31072,32087
35,کمیر کی جھلار,,1,1,0,31076,32082
42,کمیرکے جھگے متصل لدھیانہ,,1,1,1,31064,32098
34,کنڈل,,1,1,1,31076,32091
34,کھوکھراں پرانا پنڈ,,2,2,2,31071,32098
42,کھوہ قمرے کا,,0,0,0,31069,32090
44,کھوہ ملنگا چدھڑ,,1,1,0,31066,32074
36,کوٹ نجابت,,1,1,0,31070,32078
44,کوٹ ہنجرا,,1,1,0,31062,32073
44,کوٹ ھرل,,1,1,0,31062,32076
36,کوٹ والا,,1,1,0,31070,32072
34,کوٹ وساوا,,1,1,0,31071,32099
50,کوٹلہ سنگھاں,,1,1,0,31059,32070
35,کوٹلہ شہزادہ,,1,1,0,31070,32086
51,گلزار آباد,,1,1,0,31059,32068
35,گلشن کالونی نزد قلعہ کنگراں,,1,1,0,31076,32084
44,گلشن کالونی نزد آبادی ڈاکٹر,,1,1,0,31067,32077
48,گلوتراں والی 205,,2,2,5,31054,32096
48,گلوتراں والی 207,,2,2,10,31055,32094
48,گلوتراں والی کی بکھری بسیاں,,0,0,0,31056,32095
50,گھڑڑے 246,,1,1,0,31050,32077
48,گھگھ چوک,,1,1,0,31052,32090
43,گیلانی فارم واجد دا پمپ,,1,1,0,31067,32086
34,گیئریاں والا,,2,2,5,31072,30296
34,لنگاہ والا,,1,1,0,31077,32094
42,لنگرانہ,,1,1,0,31060,32095
42,لنگرانہ چھوٹا,,1,1,0,31061,32094
42,لہنے کا کھوہ,,1,1,0,31065,32092
34,لودیا,,1,1,0,31078,32096
42,لوھرے,,0,0,0,31060,32090
34,مُسلیاں دے جھگے,,1,1,0,31071,32092
37,مارو قلعہ,,1,1,0,31070,32060
34,ماڑی والا,,1,1,1,31076,32097
36,مانجکی,,1,1,0,31072,32077
50,مانڈو,,1,1,0,31059,32070
43,ماہلڑیاں دی آبادی,,1,1,0,31067,32085
43,ماہواں دا کھوہ,,0,0,0,31062,32085
50,ماہوں والا,,1,1,0,31059,32070
44,ماہوں والا ظفر نگر,,1,1,0,31064,32071
35,مائی ڈلی,,1,1,0,31078,32089
48,متصل اعوان کالونی,,1,1,0,31058,32090
44,مٹمل آبادی,,0,0,0,31066,32079
36,محلہ رحمت آباد,,1,1,0,31070,32078
35,محمدی شریف,,7,7,10,31076,32088
42,محمود آباد,,1,1,0,31060,32098
34,محمودے والا,,1,1,0,31074,32096
45,مردے والا,,1,1,0,31060,32068
49,مڑلو 242,,1,1,0,31053,32086
44,مستری آباد,,1,1,0,31061,32072
44,مشتری والا,,1,1,0,31068,32074
43,مصل پورہ 188,,1,1,0,31065,32086
43,مکھے دا پمپ,,1,1,0,31067,32088
43,مکھے دا پمپ 2,,1,1,0,31066,32089
49,ملاکہ چک 240,,3,3,0,31059,32086
26,ملاکیاں آلیاں,,1,1,0,31080,32080
54,ملوکا آبادی 248,,1,1,0,31044,32084
36,مما مالڑا,,1,1,0,31078,32074
